ID,Politician_Similarity,Gender,Age,Affiliation,Study Purpose,Attention_Check1,Attention_Check2,condition,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,vote,d1,g1,imm
386,good,Female,45,Democrat,good,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,6,6,6,6,7,6,6,6,7,6
387,"Many of them, if not most.",Male,70,Democrat,"Matthew Johnson says what his campaign manager advised, but we also see that he does, in fact, practice deception (accepting PAC money). So he's being honest in his response during the interview, but dishonest in his daily practice. I'd have a hard time trusting him. I think the researchers are looking for how respondents rate candidates according to their relative truthtelling, i.e. when they tell the truth only when it serves to benefit themselves.",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,5,5,5,5,2,2,1,2,5,6,6
388,No,Male,39,Other,To see if people are angry about hypocrisy.  My thoughts are more democrats will care and more republicans will not care.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,5,5,5,2,2,2,5,4,4,6
389,no,Female,46,Republican,deceptive politician,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,6,5,5,6,2,2,3,2,3,3,3
390,Donald J. Trump,Male,36,Republican,You want to know how I feel about a political candidate based upon what they said during an interview and how they felt about honesty.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,5,6,6,5,3,2,3,2,5,6,6
391,Donald J. Trump,Female,43,Democrat,I really don't have any idea.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,4,6,6,7,1,1,1,1,6,6,7
392,"All of them. I can't think of any that don't conceal, tell lies or misrepresent for their own benefit.",Female,51,Republican,I am not sure...the perceptions of politicians that lie or are hypocritical and if we are willing to vote for them anyway???,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,6,5,5,6,2,2,2,2,4,4,3
393,good,Male,43,Democrat,good,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,7,7,6,6,7,6,6,6,7,7
394,Nope. No in particular.,Female,30,Other,not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,7,7,7,4,2,3,1,2,4,4,5
395,trump,Female,53,Democrat,i don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,4,4,3,6,1,2,2,1,4,6,6
396,No,Female,48,Democrat,Very useful,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,5,5,4,6,5,6,4,6,4,5,4
397,Trump,Male,24,Democrat,To gather opinions on lying politician's. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,7,7,7,7,1,1,1,1,6,7,6
398,"none that I can think of for the specific scenario, but as far as liars go, it would suggest someone like trump",Female,69,Democrat,not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,2,2,2,2,2,2,2,2,2,5,5,6
399,the entire GOP,Female,58,Democrat,our tolerance of lying about political campaigns,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,5,6,6,7,2,2,2,2,4,5,6
400,yes,Male,44,Democrat,Games & Judgments,,"Yes, he did lie about his campaign contributions.",5,control,no,5,7,6,6,7,6,7,6,7,7,5,7
401,Not one but ALL,Female,46,Democrat,choices ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,6,6,6,6,1,1,1,1,7,6,7
402,"every one, perhaps?",Male,48,Democrat,I think you were seeing how we'd react to an obvious lie.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,4,6,6,7,2,2,2,2,6,6,6
403,nah ,Male,32,Republican,politics,,"Yes, he did lie about his campaign contributions.",5,control,no,5,6,5,4,5,3,3,2,3,5,5,5
404,no,Female,47,Democrat,I do not know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,7,7,2,2,1,2,7,7,7
405,Donald Trump the king of lies,Female,48,Democrat,if I think its okay for politicians to lie,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,4,4,4,5,4,4,4,5,3,3,2
406,no,Female,31,Democrat,not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,3,7,7,3,2,2,1,1,5,7,6
407,no,Female,35,Republican,If I approve or dissapprove of a candidate based on ethics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,7,7,7,1,1,1,1,6,6,7
408,Not in particular - most don't lie this blatantly. ,Male,59,Other,To assess the impact of a politician being caught in a verifiable lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,4,6,5,4,2,2,1,1,4,4,6
409,No specific politician. There are many that are like him though.,Female,49,Democrat,To see if people disapproved of politicians lying?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,7,1,2,2,2,5,5,6
410,Mary Fallin (former governor of Oklahoma),Female,36,Democrat,If peoples views and opinions will change about a candidate after receiving proof of deceit.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,4,6,4,4,6,3,3,3,3,5,5,4
411,all Republicans in office right now lol,Female,34,Democrat,ethics in politics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,4,4,6,3,2,2,2,6,4,4,4
412,"thank you for bringing this up.i see lying as a complicated issue.as a politician,it is sometimes okay to lie",Male,48,Republican,very useful,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,7,6,5,6,7,7,6,5,6,5,5
413,"Hillary & Bill Clinton, Obama, Biden",Prefer not to answer,68,Republican,don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,5,4,6,6,2,2,2,5,5,5,5
414,All of them. Trump in particular. ,Male,45,Democrat,Views on lying for political gain and how people perceive the morality of it.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,4,7,7,7,2,2,1,1,6,6,7
415,"Not any particular one, but just a lot in general.",Male,27,Other,To see how people value moral character in a candidate when it is discovered that a candidate from within their own party is a liar.,,"Yes, he did lie about his campaign contributions.",5,control,no,7,2,7,7,4,2,2,1,2,5,6,6
416,"All of them, honestly.",Male,25,Democrat,Not sure what the goal is,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,4,5,4,5,2,2,2,2,5,6,4
417,"Offhand, no it did not.",Male,70,Republican,Measuring voters' tolerance and support for politicians who are willing to blatantly mislead and deceive us.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,4,2,6,7,5,2,2,1,2,6,6,6
418,N/A,Female,50,Other,How people think about politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,6,6,7,7,2,4,2,1,6,6,6
419,Yes,Male,39,Other,"Perception of political candidates if you agree on their claimed policy stances, but later found out they were untruthful",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,5,4,4,4,3,3,3,4,4,4,6
420,NONE,Female,40,Democrat,We are researchers at the University of Chicago doing a psychology research study,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,3,3,5,6,3,5,6,6,6,4,3,4
421,just about all of them,Male,47,Other,confirmation biases,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,4,5,4,4,5,4,4,5,2,3,3,5
422,Trump,Male,28,Other,Not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,6,6,6,3,1,1,1,1,6,6,6
423,Pretty much every politician.,Female,42,Republican,Judgments and perceptions,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,3,3,3,3,5,4,5,3,5,3,4,4
424,Kamala Harris and similar mainstream Democratic politicians who have presented conflicting information about the support they receive from PACs.,Male,31,Democrat,To assess how respondents rate the morality of politicians they support who are caught lying as compared to the morality of politicians who they do not support who are caught lying.,,"Yes, he did lie about his campaign contributions.",5,control,no,4,5,6,6,2,2,3,2,5,4,5,5
425,Unsure,Male,23,Democrat,N/A,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,4,4,4,4,4,4,4,4,4,4,4
426,"No, because even though there are liars in politics they don't say that they think that it's OK.",Male,67,Democrat,I don't know. To see how we accept liars in politics?,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,3,3,6,6,2,1,3,1,2,5,6,6
427,No.,Male,28,Democrat,Research about if politican is ok to tell lies.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,6,4,4,6,3,3,2,2,6,6,6
428,yes,Female,40,Other,How people perceive of political candidates. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,4,4,6,6,3,1,1,2,2,6,6,1
429,Biden and Harris,Male,30,Other,Evaluating a candidate ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,4,7,7,7,1,1,1,2,6,6,5
430,"No, not anyone specifically, although I believe many politicians take this Machiavellian approach.",Male,45,Democrat,I am really not sure.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,3,6,4,4,3,3,3,3,3,4,5
431,no,Male,25,Democrat,not sure,,"Yes, he did lie about his campaign contributions.",5,control,no,4,4,5,5,4,2,2,2,5,5,6,5
432,Joe Biden,Female,35,Other,To judge a politician on whether he is moral or not.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,7,7,7,7,2,2,2,1,7,7,7
433,No.,Male,32,Democrat,People's views on politicians who lie. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,6,6,6,2,2,2,3,5,5,6
434,Bernie Sanders,Male,29,Democrat,"To see how big of hypocrites WE are if we hate Matthew Johnson but love Bernie Sanders! haha, just kidding, just probably about how we make excuses for when politicians lie.",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,3,4,2,2,5,5,5,4,6,3,2,5
435,Yes. He remembers me George W Bush,Male,26,Democrat,The study try to analyze people's perception on political candidates,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,3,2,3,2,7,5,6,5,2,3,3
436,Not really,Male,24,Democrat,not sure,,"Yes, he did lie about his campaign contributions.",5,control,no,5,4,3,4,5,3,4,5,5,4,5,4
